ha,-159.0,-134.2,-132.9,-132.8,-116.3,-113.7,-102.3,-98.6,-91.0,-86.2,-86.1,-81.6,-75.6,-75.5,-73.6,-66.6,-66.3,-60.1,-58.0,-54.4,-50.5,-49.1,-44.3,-43.9,-43.8,-39.6,-37.7,-35.3,-31.8,-31.1,-27.1,-26.5,-23.2,-21.2,-19.4,-16.5,-15.6,-11.9,-8.1,-7.6,-4.2,-3.5,-0.4,0.5,3.6,4.3,7.7,8.2,12.0,12.1,15.8,16.7,19.5,21.4,23.3,23.4,26.6,27.3,31.3,32.0,35.5,37.8,39.7,44.0,44.4,49.2,49.3,50.7,54.6,58.2,60.2,66.5,66.7,73.7,73.8,75.7,81.7,81.8,91.1,91.2,98.8,102.4,116.5,134.3,134.4,159.2
133.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.648013e-07,,2.824932e-07
113.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.491632e-07,2.6460270000000003e-07,2.646476e-07,2.8259150000000003e-07
98.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3046770000000002e-07,2.345787e-07,2.488785e-07,2.645407e-07,2.6458300000000003e-07,2.8261040000000004e-07
86.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2096139999999998e-07,,,2.341437e-07,2.4876999999999997e-07,2.645382e-07,2.645516e-07,2.8268899999999997e-07
75.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9989629999999998e-07,2.082501e-07,,2.205347e-07,,,2.339163e-07,2.486445e-07,2.645361e-07,2.645621e-07,2.827063e-07
66.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.85202e-07,1.85612e-07,,1.963119e-07,,2.076417e-07,2.0766189999999998e-07,2.2013750000000002e-07,,,2.3362779999999997e-07,2.485064e-07,2.6440650000000003e-07,2.644962e-07,2.826799e-07
58.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7068260000000003e-07,1.7411449999999998e-07,,1.8471689999999998e-07,1.9560259999999999e-07,1.9563479999999998e-07,,2.072509e-07,2.072314e-07,2.198583e-07,,,2.33508e-07,2.4849e-07,2.6452379999999996e-07,2.6456229999999996e-07,2.827383e-07
50.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5642079999999998e-07,1.6340529999999998e-07,,1.7322960000000003e-07,,1.840095e-07,1.9510549999999999e-07,1.951492e-07,,2.0690229999999999e-07,2.068776e-07,2.196994e-07,,,2.3342779999999998e-07,2.484533e-07,2.6455509999999994e-07,2.6457390000000006e-07,2.828025e-07
43.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4259479999999998e-07,1.4334979999999999e-07,1.525415e-07,1.525718e-07,,1.6237570000000002e-07,,1.72403e-07,,1.8341e-07,1.9467099999999998e-07,1.9465970000000002e-07,,2.0657520000000002e-07,2.066315e-07,2.1947279999999999e-07,,,2.332968e-07,2.4842220000000004e-07,2.644911e-07,2.646019e-07,2.828574e-07
37.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.287739e-07,1.326104e-07,,1.419997e-07,1.513299e-07,1.514752e-07,,1.6146710000000002e-07,,1.7163220000000002e-07,,1.828912e-07,,1.942434e-07,,2.062491e-07,2.063166e-07,2.1924620000000001e-07,2.193187e-07,,2.331823e-07,2.483852e-07,2.64538e-07,2.645862e-07,2.828544e-07
31.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1472e-07,1.222303e-07,,1.3108989999999997e-07,,1.4074289999999999e-07,1.5041539999999998e-07,1.5039470000000001e-07,,1.606449e-07,,1.710909e-07,,1.8239190000000002e-07,,1.939637e-07,,2.060302e-07,2.060647e-07,2.192023e-07,,,2.331504e-07,2.483868e-07,2.645415e-07,2.645464e-07,2.8290959999999996e-07
26.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.010215e-07,1.0235950000000001e-07,1.1132339999999999e-07,,1.20626e-07,,1.297375e-07,,1.396126e-07,1.49528e-07,1.49524e-07,,1.600187e-07,,1.705195e-07,,1.8204729999999997e-07,,1.9368289999999998e-07,,2.059218e-07,2.059102e-07,2.1911360000000002e-07,,,2.3315989999999999e-07,2.484639e-07,2.646821e-07,2.646808e-07,2.830874e-07
21.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.649939e-08,9.116455e-08,9.115022999999999e-08,,1.002753e-07,1.0954410000000001e-07,,1.191009e-07,,1.285247e-07,,1.386666e-07,1.48686e-07,1.487141e-07,,1.593658e-07,,1.7005610000000002e-07,,1.8165589999999998e-07,,1.9343429999999999e-07,,2.0568720000000002e-07,2.056805e-07,2.189668e-07,2.19037e-07,,2.3309079999999997e-07,2.484511e-07,2.646577e-07,2.6471979999999997e-07,2.83163e-07
16.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.266739999999999e-08,7.958102999999999e-08,,8.895612e-08,8.893975e-08,,9.843912e-08,1.079413e-07,,1.17836e-07,,1.273841e-07,,1.3772789999999998e-07,1.4798220000000002e-07,1.479811e-07,,1.587544e-07,,1.695906e-07,,1.8132770000000002e-07,1.931726e-07,1.9321999999999998e-07,,2.056073e-07,2.0561450000000002e-07,2.189037e-07,,,2.331264e-07,2.484354e-07,2.647415e-07,2.64744e-07,2.831517e-07
12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.818251999999999e-08,6.760536e-08,,7.7194e-08,,,8.689805e-08,,9.670114e-08,1.06434e-07,,1.165869e-07,,1.2641e-07,,1.369069e-07,1.4728639999999998e-07,1.4733739999999999e-07,,1.581851e-07,,1.6922799999999999e-07,,1.8104020000000002e-07,,1.930153e-07,,2.0541940000000002e-07,2.054682e-07,2.187985e-07,,,2.3301679999999996e-07,2.484362e-07,2.6474740000000003e-07,2.6474209999999997e-07,2.8318040000000005e-07
7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.381869e-08,4.506037e-08,5.510435e-08,,6.503103e-08,,7.493796e-08,,8.499791e-08,8.504009e-08,,9.506702e-08,1.051565e-07,,1.1547360000000001e-07,,1.254947e-07,,1.361847e-07,,1.467295e-07,,1.5784360000000003e-07,,1.688427e-07,,1.808073e-07,,1.9286839999999997e-07,,2.05314e-07,2.053716e-07,2.187712e-07,,,2.33026e-07,2.484332e-07,2.6476849999999997e-07,2.648005e-07,2.832437e-07
3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.914479e-08,3.106687e-08,,4.184324e-08,5.219455e-08,,6.259433e-08,,7.284171e-08,,8.323583e-08,8.323575e-08,,9.357687000000001e-08,1.0389630000000001e-07,,1.144893e-07,,1.2459760000000002e-07,,1.354475e-07,1.461241e-07,1.461941e-07,,1.573539e-07,,1.685096e-07,,1.8054110000000002e-07,,1.92678e-07,,2.0526489999999999e-07,2.0531979999999998e-07,2.1869789999999997e-07,2.1870750000000001e-07,,2.330207e-07,2.4847449999999997e-07,2.647997e-07,2.6484270000000003e-07,2.833265e-07
-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.365905e-08,1.62849e-08,,2.718156e-08,,3.8519610000000005e-08,4.9417790000000005e-08,,6.018279e-08,,7.087024000000001e-08,,8.160602e-08,8.165028999999999e-08,,9.219787000000001e-08,1.027558e-07,,1.134671e-07,,1.238249e-07,,1.3487070000000001e-07,,1.457076e-07,,1.5697679999999998e-07,,1.682283e-07,,1.8035129999999997e-07,,1.9251820000000001e-07,,2.051615e-07,2.05169e-07,2.186618e-07,2.1873160000000003e-07,,2.3300420000000002e-07,2.48489e-07,2.64895e-07,2.649338e-07,2.8339609999999994e-07
-4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.075541e-09,8.462419e-10,,1.2239799999999998e-08,,2.336601e-08,,3.515157e-08,4.663405e-08,,5.8010169999999996e-08,,6.901752e-08,,7.996911e-08,7.995638000000001e-08,,9.092286999999999e-08,1.017315e-07,,1.1263e-07,,1.231325e-07,,1.3430779999999998e-07,1.452037e-07,1.452629e-07,,1.566254e-07,,1.679866e-07,,1.80136e-07,,1.9239060000000002e-07,,2.05079e-07,2.051107e-07,2.185753e-07,2.186319e-07,,2.3297390000000001e-07,2.48466e-07,2.648105e-07,2.6488740000000003e-07,2.8339649999999997e-07
-8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.596407e-08,-1.4708570000000001e-08,,-3.519965e-09,,8.084794e-09,,1.962432e-08,,3.180973e-08,4.363723999999999e-08,,5.552897e-08,,6.710059e-08,,7.846564e-08,7.844038999999999e-08,,8.960397999999999e-08,1.0063930000000001e-07,,1.117405e-07,,1.223958e-07,,1.3373629999999998e-07,1.447807e-07,1.44844e-07,,1.562987e-07,,1.677115e-07,,1.7998809999999998e-07,1.922579e-07,1.922972e-07,,2.050222e-07,2.0506079999999997e-07,2.1859729999999999e-07,,,2.330011e-07,2.48573e-07,2.649648e-07,2.650089e-07,2.834685e-07
-12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.0082520000000005e-08,,-1.889199e-08,,-7.521308e-09,,4.363563e-09,,1.618161e-08,,2.8659180000000003e-08,4.088019999999999e-08,,5.3078609999999996e-08,,6.509197000000001e-08,,7.693297e-08,7.695377e-08,,8.841025e-08,9.963379e-08,,1.1094099999999999e-07,,1.217625e-07,,1.332057e-07,1.44355e-07,1.4442689999999998e-07,,1.560155e-07,,1.67471e-07,,1.798329e-07,,1.921911e-07,,2.049369e-07,2.049719e-07,2.186209e-07,,,2.329809e-07,2.485764e-07,2.650193e-07,2.650211e-07,2.835459e-07
-15.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.380114e-08,-3.44043e-08,,-2.2878819999999998e-08,,-1.1260509999999998e-08,,8.937605e-10,,1.2950870000000001e-08,,2.5643479999999998e-08,3.816608e-08,,5.0686160000000006e-08,,6.297924e-08,,7.527330999999999e-08,7.524666000000001e-08,,8.725071e-08,9.865589999999999e-08,,1.10159e-07,,1.21191e-07,,1.327314e-07,1.440161e-07,1.440449e-07,,1.557232e-07,,1.673074e-07,,1.7968460000000002e-07,,1.920533e-07,,2.0488329999999997e-07,2.0492670000000002e-07,2.18521e-07,2.1855160000000002e-07,,2.330198e-07,2.486175e-07,2.650563e-07,2.650745e-07,2.8358309999999997e-07
