,hb,ha,hm
438,39,0,1.238249e-07
440,44,0,1.3487070000000001e-07
442,49,0,1.457076e-07
444,54,0,1.5697679999999998e-07
446,60,0,1.682283e-07
448,66,0,1.8035129999999997e-07
450,73,0,1.9251820000000001e-07
452,81,0,2.05169e-07
454,91,0,2.1873160000000003e-07
456,102,0,2.3300420000000002e-07
458,116,0,2.48489e-07
460,134,0,2.649338e-07
462,159,0,2.8339609999999994e-07
465,-3,-4,8.462419e-10
467,0,-4,1.2239799999999998e-08
469,4,-4,2.336601e-08
471,8,-4,3.515157e-08
473,12,-4,4.663405e-08
475,15,-4,5.8010169999999996e-08
477,19,-4,6.901752e-08
479,23,-4,7.995638000000001e-08
481,27,-4,9.092286999999999e-08
483,31,-4,1.017315e-07
485,35,-4,1.1263e-07
487,39,-4,1.231325e-07
489,44,-4,1.3430779999999998e-07
491,49,-4,1.452629e-07
493,54,-4,1.566254e-07
495,60,-4,1.679866e-07
497,66,-4,1.80136e-07
499,73,-4,1.9239060000000002e-07
501,81,-4,2.051107e-07
503,91,-4,2.186319e-07
505,102,-4,2.3297390000000001e-07
507,116,-4,2.48466e-07
509,134,-4,2.6488740000000003e-07
511,159,-4,2.8339649999999997e-07
514,-7,-8,-1.4708570000000001e-08
516,-3,-8,-3.519965e-09
518,0,-8,8.084794e-09
520,4,-8,1.962432e-08
522,8,-8,3.180973e-08
524,12,-8,4.363723999999999e-08
526,15,-8,5.552897e-08
528,19,-8,6.710059e-08
530,23,-8,7.844038999999999e-08
532,27,-8,8.960397999999999e-08
534,31,-8,1.0063930000000001e-07
536,35,-8,1.117405e-07
538,39,-8,1.223958e-07
540,44,-8,1.3373629999999998e-07
542,49,-8,1.44844e-07
544,54,-8,1.562987e-07
546,60,-8,1.677115e-07
548,66,-8,1.7998809999999998e-07
550,73,-8,1.922972e-07
552,81,-8,2.0506079999999997e-07
554,91,-8,2.1859729999999999e-07
556,102,-8,2.330011e-07
558,116,-8,2.48573e-07
560,134,-8,2.650089e-07
562,159,-8,2.834685e-07
564,-11,-12,-3.0082520000000005e-08
565,-7,-12,-1.889199e-08
567,-3,-12,-7.521308e-09
569,0,-12,4.363563e-09
571,4,-12,1.618161e-08
573,8,-12,2.8659180000000003e-08
575,12,-12,4.088019999999999e-08
577,15,-12,5.3078609999999996e-08
579,19,-12,6.509197000000001e-08
581,23,-12,7.695377e-08
583,27,-12,8.841025e-08
585,31,-12,9.963379e-08
587,35,-12,1.1094099999999999e-07
589,39,-12,1.217625e-07
591,44,-12,1.332057e-07
593,49,-12,1.4442689999999998e-07
595,54,-12,1.560155e-07
597,60,-12,1.67471e-07
599,66,-12,1.798329e-07
601,73,-12,1.921911e-07
603,81,-12,2.049719e-07
605,91,-12,2.186209e-07
607,102,-12,2.329809e-07
609,116,-12,2.485764e-07
611,134,-12,2.650211e-07
613,159,-12,2.835459e-07
616,-11,-15,-3.44043e-08
618,-7,-15,-2.2878819999999998e-08
620,-3,-15,-1.1260509999999998e-08
622,0,-15,8.937605e-10
624,4,-15,1.2950870000000001e-08
626,8,-15,2.5643479999999998e-08
628,12,-15,3.816608e-08
630,15,-15,5.0686160000000006e-08
632,19,-15,6.297924e-08
634,23,-15,7.524666000000001e-08
636,27,-15,8.725071e-08
638,31,-15,9.865589999999999e-08
640,35,-15,1.10159e-07
642,39,-15,1.21191e-07
644,44,-15,1.327314e-07
646,49,-15,1.440449e-07
648,54,-15,1.557232e-07
650,60,-15,1.673074e-07
652,66,-15,1.7968460000000002e-07
654,73,-15,1.920533e-07
656,81,-15,2.0492670000000002e-07
658,91,-15,2.1855160000000002e-07
660,102,-15,2.330198e-07
662,116,-15,2.486175e-07
664,134,-15,2.650745e-07
666,159,-15,2.8358309999999997e-07
669,-16,-19,-5.0087699999999995e-08
671,-11,-19,-3.8228309999999996e-08
673,-7,-19,-2.6531990000000002e-08
675,-3,-19,-1.4655739999999999e-08
677,0,-19,-2.326699e-09
679,4,-19,9.946268e-09
681,8,-19,2.2886580000000003e-08
683,12,-19,3.5629629999999997e-08
685,15,-19,4.8257180000000004e-08
687,19,-19,6.088647e-08
689,23,-19,7.341193e-08
691,27,-19,8.571636e-08
693,31,-19,9.766174000000001e-08
695,35,-19,1.094368e-07
697,39,-19,1.205446e-07
699,44,-19,1.322494e-07
701,49,-19,1.4367070000000001e-07
703,54,-19,1.554258e-07
705,60,-19,1.670081e-07
707,66,-19,1.794491e-07
709,73,-19,1.919802e-07
711,81,-19,2.0486999999999998e-07
713,91,-19,2.185114e-07
715,102,-19,2.330303e-07
717,116,-19,2.486061e-07
719,134,-19,2.65125e-07
721,159,-19,2.8363559999999994e-07
724,-21,-23,-6.540112e-08
726,-16,-23,-5.3837510000000005e-08
728,-11,-23,-4.1794400000000005e-08
730,-7,-23,-2.992025e-08
732,-3,-23,-1.793402e-08
734,0,-23,-5.337629e-09
736,4,-23,7.153983e-09
738,8,-23,2.032918e-08
740,12,-23,3.317216e-08
742,15,-23,4.604527e-08
744,19,-23,5.884371e-08
746,23,-23,7.157342e-08
748,27,-23,8.412181e-08
750,31,-23,9.640369e-08
752,35,-23,1.085239e-07
754,39,-23,1.1991019999999998e-07
756,44,-23,1.3178800000000002e-07
758,49,-23,1.4326229999999998e-07
760,54,-23,1.5511629999999997e-07
762,60,-23,1.668953e-07
764,66,-23,1.7938870000000002e-07
766,73,-23,1.919312e-07
768,81,-23,2.048208e-07
770,91,-23,2.1852699999999998e-07
772,102,-23,2.330207e-07
774,116,-23,2.4860020000000003e-07
776,134,-23,2.6510990000000003e-07
778,159,-23,2.8362579999999996e-07
781,-26,-27,-8.137799e-08
783,-21,-27,-6.892728999999999e-08
785,-16,-27,-5.7251880000000004e-08
787,-11,-27,-4.5099720000000004e-08
789,-7,-27,-3.3056970000000006e-08
791,-3,-27,-2.0837689999999998e-08
793,0,-27,-8.087434e-09
795,4,-27,4.582045e-09
797,8,-27,1.7929130000000003e-08
799,12,-27,3.095586e-08
801,15,-27,4.3978120000000004e-08
803,19,-27,5.688155e-08
805,23,-27,6.978426e-08
807,27,-27,8.255276e-08
809,31,-27,9.507035e-08
811,35,-27,1.0751129999999999e-07
813,39,-27,1.1923589999999998e-07
815,44,-27,1.312658e-07
817,49,-27,1.429154e-07
819,54,-27,1.548986e-07
821,60,-27,1.666889e-07
823,66,-27,1.792509e-07
825,73,-27,1.9177629999999996e-07
827,81,-27,2.0477439999999997e-07
829,91,-27,2.184891e-07
831,102,-27,2.330539e-07
833,116,-27,2.486618e-07
835,134,-27,2.651482e-07
837,159,-27,2.837053e-07
840,-26,-31,-8.477757000000001e-08
842,-21,-31,-7.225216e-08
844,-16,-31,-6.036264e-08
846,-11,-31,-4.807224e-08
848,-7,-31,-3.585715e-08
850,-3,-31,-2.3500400000000004e-08
852,0,-31,-1.057605e-08
854,4,-31,2.227787e-09
856,8,-31,1.571624e-08
858,12,-31,2.8879029999999996e-08
860,15,-31,4.205587e-08
862,19,-31,5.5053460000000004e-08
864,23,-31,6.812639999999999e-08
866,27,-31,8.093978e-08
868,31,-31,9.361677e-08
870,35,-31,1.0634039999999999e-07
872,39,-31,1.183425e-07
874,44,-31,1.307619e-07
876,49,-31,1.4251720000000002e-07
878,54,-31,1.546236e-07
880,60,-31,1.6649229999999998e-07
882,66,-31,1.791204e-07
884,73,-31,1.9171329999999997e-07
886,81,-31,2.04735e-07
888,91,-31,2.185315e-07
890,102,-31,2.329896e-07
892,116,-31,2.486603e-07
894,134,-31,2.6519990000000003e-07
896,159,-31,2.837479e-07
899,-31,-35,-1.001826e-07
901,-26,-35,-8.79768e-08
903,-21,-35,-7.527988000000001e-08
905,-16,-35,-6.331265000000001e-08
907,-11,-35,-5.085998e-08
909,-7,-35,-3.8510370000000004e-08
911,-3,-35,-2.588822e-08
913,0,-35,-1.2888159999999999e-08
915,4,-35,5.090314e-11
917,8,-35,1.360366e-08
919,12,-35,2.695806e-08
921,15,-35,4.015029e-08
923,19,-35,5.330372000000001e-08
925,23,-35,6.643679e-08
927,27,-35,7.943767999999999e-08
929,31,-35,9.218942999999999e-08
931,35,-35,1.050605e-07
933,39,-35,1.1732e-07
935,44,-35,1.300574e-07
937,49,-35,1.421293e-07
939,54,-35,1.543672e-07
941,60,-35,1.663447e-07
943,66,-35,1.790007e-07
945,73,-35,1.916637e-07
947,81,-35,2.0470570000000003e-07
949,91,-35,2.184935e-07
951,102,-35,2.330382e-07
953,116,-35,2.48766e-07
955,134,-35,2.65279e-07
957,159,-35,2.837988e-07
960,-37,-39,-1.1583789999999999e-07
962,-31,-39,-1.030995e-07
964,-26,-39,-9.078371000000001e-08
966,-21,-39,-7.806096000000001e-08
968,-16,-39,-6.584972e-08
970,-11,-39,-5.328918e-08
972,-7,-39,-4.080227e-08
974,-3,-39,-2.812568e-08
976,0,-39,-1.4943030000000003e-08
978,4,-39,-1.891111e-09
980,8,-39,1.1761900000000001e-08
982,12,-39,2.516678e-08
984,15,-39,3.8563370000000005e-08
986,19,-39,5.1729339999999995e-08
988,23,-39,6.503364e-08
990,27,-39,7.806025e-08
992,31,-39,9.096396000000001e-08
994,35,-39,1.038678e-07
996,39,-39,1.1618190000000001e-07
998,44,-39,1.291436e-07
1000,49,-39,1.415391e-07
1002,54,-39,1.5403039999999998e-07
1004,60,-39,1.6611279999999996e-07
1006,66,-39,1.7892070000000001e-07
1008,73,-39,1.9158170000000002e-07
1010,81,-39,2.046367e-07
1012,91,-39,2.1849540000000002e-07
1014,102,-39,2.33082e-07
1016,116,-39,2.487292e-07
1018,134,-39,2.6526670000000004e-07
1020,159,-39,2.838233e-07
1023,-43,-44,-1.3148199999999999e-07
1025,-37,-44,-1.1879430000000001e-07
1027,-31,-44,-1.059574e-07
1029,-26,-44,-9.352064e-08
1031,-21,-44,-8.06476e-08
1033,-16,-44,-6.835549999999999e-08
1035,-11,-44,-5.558651e-08
1037,-7,-44,-4.2965550000000005e-08
1039,-3,-44,-3.017647e-08
1041,0,-44,-1.686014e-08
1043,4,-44,-3.7247979999999996e-09
1045,8,-44,1.0079879999999998e-08
1047,12,-44,2.358356e-08
1049,15,-44,3.7020199999999994e-08
1051,19,-44,5.0205029999999995e-08
1053,23,-44,6.356299e-08
1055,27,-44,7.663360000000001e-08
1057,31,-44,8.95834e-08
1059,35,-44,1.026905e-07
1061,39,-44,1.151178e-07
1063,44,-44,1.281771e-07
1065,49,-44,1.407815e-07
1067,54,-44,1.5360350000000002e-07
1069,60,-44,1.6586939999999998e-07
1071,66,-44,1.787981e-07
1073,73,-44,1.915021e-07
1075,81,-44,2.0462710000000002e-07
1077,91,-44,2.1842929999999998e-07
1079,102,-44,2.330742e-07
1081,116,-44,2.487736e-07
1083,134,-44,2.654552e-07
1085,159,-44,2.8397749999999996e-07
1088,-43,-49,-1.341608e-07
1090,-37,-49,-1.213433e-07
1092,-31,-49,-1.0851569999999999e-07
1094,-26,-49,-9.588931e-08
1096,-21,-49,-8.293888000000001e-08
1098,-16,-49,-7.049612e-08
1100,-11,-49,-5.766533e-08
1102,-7,-49,-4.496062e-08
1104,-3,-49,-3.192016e-08
1106,0,-49,-1.859266e-08
1108,4,-49,-5.3539380000000004e-09
1110,8,-49,8.562281999999998e-09
1112,12,-49,2.2067330000000004e-08
1114,15,-49,3.556022e-08
1116,19,-49,4.8908290000000003e-08
1118,23,-49,6.2208e-08
1120,27,-49,7.535035999999999e-08
1122,31,-49,8.843442e-08
1124,35,-49,1.0161760000000001e-07
1126,39,-49,1.141339e-07
1128,44,-49,1.2722950000000002e-07
1130,49,-49,1.4000360000000002e-07
1132,54,-49,1.529607e-07
1134,60,-49,1.6550420000000003e-07
1136,66,-49,1.785489e-07
1138,73,-49,1.9142399999999998e-07
1140,81,-49,2.045463e-07
1142,91,-49,2.184923e-07
1144,102,-49,2.3313289999999998e-07
1146,116,-49,2.488003e-07
1148,134,-49,2.6539009999999996e-07
1150,159,-49,2.839024e-07
1153,-50,-54,-1.4961720000000002e-07
1155,-43,-54,-1.36678e-07
1157,-37,-54,-1.2374319999999998e-07
1159,-31,-54,-1.107179e-07
1161,-26,-54,-9.806682000000001e-08
1163,-21,-54,-8.491131e-08
1165,-16,-54,-7.24562e-08
1167,-11,-54,-5.953564e-08
1169,-7,-54,-4.6636499999999995e-08
1171,-3,-54,-3.362052e-08
1173,0,-54,-2.0103490000000002e-08
1175,4,-54,-6.831809e-09
1177,8,-54,7.132569000000001e-09
1179,12,-54,2.070727e-08
1181,15,-54,3.427999e-08
1183,19,-54,4.7640260000000005e-08
1185,23,-54,6.091091e-08
1187,27,-54,7.414225999999999e-08
1189,31,-54,8.726503e-08
1191,35,-54,1.004704e-07
1193,39,-54,1.129957e-07
1195,44,-54,1.2623849999999998e-07
1197,49,-54,1.390136e-07
1199,54,-54,1.5211089999999999e-07
1201,60,-54,1.6497450000000002e-07
1203,66,-54,1.782586e-07
1205,73,-54,1.912959e-07
1207,81,-54,2.0449679999999997e-07
1209,91,-54,2.18385e-07
1211,102,-54,2.329968e-07
1213,116,-54,2.487701e-07
1215,134,-54,2.6527309999999996e-07
1217,159,-54,2.838014e-07
1220,-58,-60,-1.655411e-07
1222,-50,-60,-1.518615e-07
1224,-43,-60,-1.3880860000000001e-07
1226,-37,-60,-1.258393e-07
1228,-31,-60,-1.126355e-07
1230,-26,-60,-9.995848999999999e-08
1232,-21,-60,-8.676203999999998e-08
1234,-16,-60,-7.416572999999999e-08
1236,-11,-60,-6.100494e-08
1238,-7,-60,-4.818080999999999e-08
1240,-3,-60,-3.5099110000000004e-08
1242,0,-60,-2.156476e-08
1244,4,-60,-8.050983e-09
1246,8,-60,5.886199000000001e-09
1248,12,-60,1.954866e-08
1250,15,-60,3.30658e-08
1252,19,-60,4.648201999999999e-08
1254,23,-60,5.993409e-08
1256,27,-60,7.308387e-08
1258,31,-60,8.621532e-08
1260,35,-60,9.934330000000001e-08
1262,39,-60,1.119684e-07
1264,44,-60,1.253018e-07
1266,49,-60,1.381536e-07
1268,54,-60,1.5132500000000001e-07
1270,60,-60,1.6424600000000003e-07
1272,66,-60,1.777732e-07
1274,73,-60,1.9112660000000002e-07
1276,81,-60,2.043514e-07
1278,91,-60,2.183076e-07
1280,102,-60,2.3299350000000001e-07
1282,116,-60,2.487867e-07
1284,134,-60,2.652896e-07
1286,159,-60,2.837783e-07
1291,-58,-66,-1.67674e-07
1293,-50,-66,-1.5393660000000002e-07
1295,-43,-66,-1.40627e-07
1297,-37,-66,-1.27694e-07
1299,-31,-66,-1.145255e-07
1301,-26,-66,-1.017234e-07
1303,-21,-66,-8.840144e-08
1305,-16,-66,-7.580694e-08
1307,-11,-66,-6.250568000000001e-08
1309,-7,-66,-4.9520349999999995e-08
1311,-3,-66,-3.628386e-08
1313,0,-66,-2.2756220000000003e-08
1315,4,-66,-9.287648e-09
1317,8,-66,4.840322e-09
1319,12,-66,1.849687e-08
1321,15,-66,3.2087630000000004e-08
1323,19,-66,4.546973e-08
1325,23,-66,5.888673000000001e-08
1327,27,-66,7.214095e-08
1329,31,-66,8.521399e-08
1331,35,-66,9.846705e-08
1333,39,-66,1.1105960000000001e-07
1335,44,-66,1.243523e-07
1337,49,-66,1.371974e-07
1339,54,-66,1.5058670000000002e-07
1341,60,-66,1.6347839999999997e-07
1343,66,-66,1.771998e-07
1345,73,-66,1.906309e-07
1347,81,-66,2.042492e-07
1349,91,-66,2.1821249999999998e-07
1351,102,-66,2.328841e-07
1353,116,-66,2.486721e-07
1355,134,-66,2.652648e-07
1357,159,-66,2.839052e-07
1360,-66,-73,-1.836352e-07
1362,-58,-73,-1.695674e-07
1364,-50,-73,-1.5568129999999998e-07
1366,-43,-73,-1.424649e-07
1368,-37,-73,-1.29291e-07
1370,-31,-73,-1.1605510000000001e-07
1372,-26,-73,-1.030911e-07
1374,-21,-73,-8.97465e-08
1376,-16,-73,-7.698239999999999e-08
1378,-11,-73,-6.374542e-08
1380,-7,-73,-5.064545e-08
1382,-3,-73,-3.753174e-08
1384,0,-73,-2.3719830000000002e-08
1386,4,-73,-1.0303599999999999e-08
1388,8,-73,3.839754e-09
1390,12,-73,1.749641e-08
1392,15,-73,3.103677e-08
1394,19,-73,4.454681e-08
1396,23,-73,5.7937890000000004e-08
1398,27,-73,7.129178e-08
1400,31,-73,8.44677e-08
1402,35,-73,9.772783e-08
1404,39,-73,1.103369e-07
1406,44,-73,1.235576e-07
1408,49,-73,1.36502e-07
1410,54,-73,1.4982250000000002e-07
1412,60,-73,1.628843e-07
1414,66,-73,1.766902e-07
1416,73,-73,1.902608e-07
1418,81,-73,2.039564e-07
1420,91,-73,2.182715e-07
1422,102,-73,2.3294420000000004e-07
1424,116,-73,2.487346e-07
1426,134,-73,2.654104e-07
1428,159,-73,2.839813e-07
1431,-75,-81,-1.995519e-07
1433,-66,-81,-1.852465e-07
1435,-58,-81,-1.71138e-07
1437,-50,-81,-1.5729939999999998e-07
1439,-43,-81,-1.439637e-07
1441,-37,-81,-1.307719e-07
1443,-31,-81,-1.1742839999999999e-07
1445,-26,-81,-1.044261e-07
1447,-21,-81,-9.088797e-08
1449,-16,-81,-7.814135e-08
1451,-11,-81,-6.484734e-08
1453,-7,-81,-5.1717779999999996e-08
1455,-3,-81,-3.842948e-08
1457,0,-81,-2.468404e-08
1459,4,-81,-1.115529e-08
1461,8,-81,2.934948e-09
1463,12,-81,1.661645e-08
1465,15,-81,3.042632e-08
1467,19,-81,4.379003e-08
1469,23,-81,5.728915e-08
1471,27,-81,7.057555e-08
1473,31,-81,8.378287000000001e-08
1475,35,-81,9.699699000000001e-08
1477,39,-81,1.0954410000000001e-07
1479,44,-81,1.22975e-07
1481,49,-81,1.3579429999999998e-07
1483,54,-81,1.4923410000000002e-07
1485,60,-81,1.6223600000000002e-07
1487,66,-81,1.7616199999999999e-07
1489,73,-81,1.8978839999999997e-07
1491,81,-81,2.037227e-07
1493,91,-81,2.1814989999999999e-07
1495,102,-81,2.3307670000000001e-07
1497,116,-81,2.4889039999999997e-07
1499,134,-81,2.6549740000000003e-07
1501,159,-81,2.841669e-07
1504,-86,-91,-2.161026e-07
1506,-75,-91,-2.012934e-07
1508,-66,-91,-1.8679079999999998e-07
1510,-58,-91,-1.726108e-07
1512,-50,-91,-1.586394e-07
1514,-43,-91,-1.453461e-07
1516,-37,-91,-1.320189e-07
1518,-31,-91,-1.185513e-07
1520,-26,-91,-1.055396e-07
1522,-21,-91,-9.196359e-08
1524,-16,-91,-7.902924999999999e-08
1526,-11,-91,-6.583964999999999e-08
1528,-7,-91,-5.252592e-08
1530,-3,-91,-3.921516e-08
1532,0,-91,-2.544092e-08
1534,4,-91,-1.191387e-08
1536,8,-91,2.227414e-09
1538,12,-91,1.609593e-08
1540,15,-91,2.968482e-08
1542,19,-91,4.3120660000000004e-08
1544,23,-91,5.673279e-08
1546,27,-91,6.996802e-08
1548,31,-91,8.314594999999999e-08
1550,35,-91,9.640112e-08
1552,39,-91,1.089369e-07
1554,44,-91,1.222884e-07
1556,49,-91,1.352511e-07
1558,54,-91,1.486308e-07
1560,60,-91,1.6178090000000002e-07
1562,66,-91,1.7563400000000002e-07
1564,73,-91,1.893964e-07
1566,81,-91,2.0338989999999998e-07
1568,91,-91,2.179923e-07
1570,102,-91,2.33128e-07
1572,116,-91,2.490409e-07
1574,134,-91,2.657233e-07
1576,159,-91,2.843252e-07
1579,-98,-102,-2.33053e-07
1581,-86,-102,-2.1759420000000002e-07
1583,-75,-102,-2.02566e-07
1585,-66,-102,-1.8823049999999997e-07
1587,-58,-102,-1.738316e-07
1589,-50,-102,-1.598868e-07
1591,-43,-102,-1.464891e-07
1593,-37,-102,-1.330874e-07
1595,-31,-102,-1.19519e-07
1597,-26,-102,-1.065484e-07
