,hb,ha,hm
1692,8,-116,1.220069e-09
1694,12,-116,1.4903740000000002e-08
1696,15,-116,2.8703689999999997e-08
1698,19,-116,4.213132e-08
1700,23,-116,5.5702660000000003e-08
1702,27,-116,6.900434e-08
1704,31,-116,8.218539999999999e-08
1706,35,-116,9.544685e-08
1708,39,-116,1.0808869999999999e-07
1710,44,-116,1.213196e-07
1712,49,-116,1.3437220000000002e-07
1714,54,-116,1.477345e-07
1716,60,-116,1.609279e-07
1718,66,-116,1.7485689999999997e-07
1720,73,-116,1.886621e-07
1722,81,-116,2.026966e-07
1724,91,-116,2.1746749999999999e-07
1726,102,-116,2.3288190000000001e-07
1728,116,-116,2.4905e-07
1730,134,-116,2.660639e-07
1732,159,-116,2.8476809999999997e-07
1735,-132,-134,-2.688399e-07
1737,-113,-134,-2.515793e-07
1739,-98,-134,-2.352309e-07
1741,-86,-134,-2.196714e-07
1743,-75,-134,-2.045151e-07
1745,-66,-134,-1.900604e-07
1747,-58,-134,-1.7570710000000002e-07
1749,-50,-134,-1.614445e-07
1751,-43,-134,-1.479006e-07
1753,-37,-134,-1.3446289999999999e-07
1755,-31,-134,-1.209498e-07
1757,-26,-134,-1.07785e-07
1759,-21,-134,-9.410036e-08
1761,-16,-134,-8.104139e-08
1763,-11,-134,-6.759921e-08
1765,-7,-134,-5.4345160000000006e-08
1767,-3,-134,-4.088851e-08
1769,0,-134,-2.7087560000000003e-08
1771,4,-134,-1.344773e-08
1773,8,-134,7.006804e-10
1775,12,-134,1.4668450000000002e-08
1777,15,-134,2.8329e-08
1779,19,-134,4.186013e-08
1781,23,-134,5.5356440000000004e-08
1783,27,-134,6.873821000000001e-08
1785,31,-134,8.180238000000001e-08
1787,35,-134,9.498857e-08
1789,39,-134,1.0773279999999999e-07
1791,44,-134,1.20896e-07
1793,49,-134,1.3399920000000002e-07
1795,54,-134,1.47365e-07
1797,60,-134,1.6041079999999998e-07
1799,66,-134,1.743359e-07
1801,73,-134,1.882089e-07
1803,81,-134,2.022832e-07
1805,91,-134,2.170486e-07
1807,102,-134,2.325329e-07
1809,116,-134,2.488405e-07
1811,134,-134,2.659958e-07
1813,159,-134,2.8475609999999995e-07
1818,-132,-159,-2.6933459999999995e-07
1820,-113,-159,-2.5206770000000003e-07
1822,-98,-159,-2.35784e-07
1824,-86,-159,-2.201236e-07
1826,-75,-159,-2.0508849999999998e-07
1828,-66,-159,-1.9042560000000002e-07
1830,-58,-159,-1.7608329999999998e-07
1832,-50,-159,-1.618978e-07
1834,-43,-159,-1.483445e-07
1836,-37,-159,-1.348929e-07
1838,-31,-159,-1.212568e-07
1840,-26,-159,-1.0814219999999999e-07
1842,-21,-159,-9.441285000000001e-08
1844,-16,-159,-8.1369e-08
1846,-11,-159,-6.791686999999999e-08
1848,-7,-159,-5.462993e-08
1850,-3,-159,-4.123958999999999e-08
1852,0,-159,-2.73063e-08
1854,4,-159,-1.371989e-08
1856,8,-159,5.083435e-10
1858,12,-159,1.4297169999999999e-08
1860,15,-159,2.799785e-08
1862,19,-159,4.153581e-08
1864,23,-159,5.499693e-08
1866,27,-159,6.84364e-08
1868,31,-159,8.150147000000001e-08
1870,35,-159,9.489818e-08
1872,39,-159,1.0740320000000001e-07
1874,44,-159,1.208652e-07
1876,49,-159,1.337694e-07
1878,54,-159,1.4712179999999997e-07
1880,60,-159,1.6021710000000003e-07
1882,66,-159,1.742286e-07
1884,73,-159,1.8803049999999998e-07
1886,81,-159,2.0217579999999999e-07
1888,91,-159,2.1692239999999998e-07
1890,102,-159,2.3235800000000002e-07
1892,116,-159,2.4879839999999997e-07
1894,134,-159,2.658732e-07
1896,159,-159,2.848951e-07
